0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,MONEDA,categoria
BBVA,Bancom,Crédito,Pichincha,BIF,Scotiabank,Citibank,Interbank,Mibanco,GNB,Falabella,Santander,Ripley,Alfin,ICBC,Bank of China,BCI,Compartamos,Santander Cons. Bank,Promedio,SOLES,CATEGORIA
4.98,5.00,5.30,5.91,6.19,6.01,s.i.,6.40,-,6.52,-,8.14,-,10.53,5.17,-,5.65,-,-,5.61,SOLES,Corporativos
5.89,-,6.09,5.10,4.75,6.27,s.i.,6.36,-,-,-,7.48,-,-,-,-,-,-,-,5.90,SOLES,Descuentos
4.79,-,5.27,7.30,-,5.54,s.i.,5.53,-,-,-,4.97,-,-,-,-,4.68,-,-,5.14,SOLES,Préstamos hasta 30 días
5.46,-,5.29,5.40,6.71,6.96,s.i.,6.56,-,6.44,-,6.93,-,10.46,5.36,-,6.17,-,-,5.83,SOLES,Préstamos de 31 a 90 días
6.21,5.00,5.29,5.60,6.86,5.81,s.i.,6.63,-,6.01,-,7.91,-,11.64,5.03,-,5.80,-,-,6.03,SOLES,Préstamos de 91 a 180 días
4.73,-,6.13,-,7.32,6.40,s.i.,7.99,-,6.29,-,-,-,-,-,-,-,-,-,4.93,SOLES,Préstamos de 181 a 360 días
5.75,-,4.83,7.30,7.84,5.96,s.i.,5.90,-,9.80,-,10.44,-,9.80,-,-,-,-,-,6.65,SOLES,Préstamos a más de 360 días
7.73,9.45,7.76,7.11,7.79,7.30,s.i.,7.61,-,7.35,-,7.96,-,10.93,-,-,-,-,-,7.69,SOLES,Grandes Empresas
8.27,9.00,8.18,6.45,8.16,7.44,s.i.,7.76,-,7.57,-,7.46,-,-,-,-,-,-,-,8.00,SOLES,Descuentos
7.02,-,8.16,6.40,8.29,7.33,s.i.,9.17,-,-,-,9.87,-,-,-,-,-,-,-,7.92,SOLES,Préstamos hasta 30 días
7.70,11.00,7.87,8.18,7.82,7.14,s.i.,7.77,-,7.64,-,7.39,-,12.00,-,-,-,-,-,7.75,SOLES,Préstamos de 31 a 90 días
7.56,-,7.37,7.06,8.49,7.52,s.i.,6.89,-,6.67,-,6.60,-,10.56,-,-,-,-,-,7.44,SOLES,Préstamos de 91 a 180 días
7.34,7.95,6.88,7.83,12.19,7.46,s.i.,7.04,-,8.10,-,10.38,-,-,-,-,-,-,-,7.26,SOLES,Préstamos de 181 a 360 días
7.75,-,7.29,6.93,7.21,7.10,s.i.,7.47,-,-,-,-,-,10.92,-,-,-,-,-,7.46,SOLES,Préstamos a más de 360 días
11.57,10.12,10.28,9.20,12.78,9.67,s.i.,10.11,-,6.90,-,8.99,-,12.75,-,-,-,-,-,10.68,SOLES,Medianas Empresas
9.82,8.00,10.74,-,14.93,10.11,s.i.,9.59,-,-,-,9.96,-,-,-,-,-,-,-,10.54,SOLES,Descuentos
11.22,-,11.22,9.00,11.96,9.26,s.i.,11.70,-,-,-,-,-,-,-,-,-,-,-,11.14,SOLES,Préstamos hasta 30 días
12.71,10.61,9.61,9.11,12.28,9.89,s.i.,10.62,-,-,-,8.95,-,13.00,-,-,-,-,-,10.50,SOLES,Préstamos de 31 a 90 días
11.56,9.71,10.10,9.48,10.64,9.53,s.i.,10.02,-,6.90,-,8.86,-,12.92,-,-,-,-,-,10.44,SOLES,Préstamos de 91 a 180 días
11.87,10.23,9.16,-,10.15,9.68,s.i.,8.69,-,-,-,-,-,11.90,-,-,-,-,-,10.24,SOLES,Préstamos de 181 a 360 días
11.59,-,11.15,-,10.59,9.14,s.i.,12.12,-,-,-,-,-,-,-,-,-,-,-,11.34,SOLES,Préstamos a más de 360 días
15.89,18.83,20.63,-,17.87,12.52,s.i.,15.29,25.28,10.44,-,-,-,14.00,-,-,-,29.57,-,20.10,SOLES,Pequeñas Empresas
9.42,-,14.24,-,19.02,9.45,s.i.,11.40,-,-,-,-,-,-,-,-,-,-,-,13.34,SOLES,Descuentos
18.98,-,9.30,-,12.00,15.26,s.i.,-,31.35,-,-,-,-,-,-,-,-,-,-,11.43,SOLES,Préstamos hasta 30 días
17.23,12.75,9.54,-,14.95,9.57,s.i.,10.56,45.89,-,-,-,-,-,-,-,-,-,-,14.35,SOLES,Préstamos de 31 a 90 días
15.25,5.00,10.90,-,12.92,8.65,s.i.,10.64,35.18,10.44,-,-,-,14.00,-,-,-,75.57,-,15.49,SOLES,Préstamos de 91 a 180 días
16.80,14.99,10.52,-,-,8.50,s.i.,17.00,30.34,-,-,-,-,-,-,-,-,37.24,-,26.24,SOLES,Préstamos de 181 a 360 días
15.94,19.82,22.49,-,10.00,13.85,s.i.,16.63,23.63,-,-,-,-,-,-,-,-,29.10,-,20.56,SOLES,Préstamos a más de 360 días
20.81,27.00,45.43,28.84,23.46,-,s.i.,16.38,57.74,-,-,-,-,-,-,-,-,79.21,38.00,70.41,SOLES,Microempresas
33.70,-,53.50,28.84,-,-,s.i.,-,-,-,-,-,-,-,-,-,-,-,-,38.75,SOLES,Tarjetas de Crédito
7.50,-,24.44,-,23.46,-,s.i.,14.24,-,-,-,-,-,-,-,-,-,-,-,16.30,SOLES,Descuentos
16.34,-,-,-,-,-,s.i.,-,55.74,-,-,-,-,-,-,-,-,38.63,-,54.75,SOLES,Préstamos Revolventes
23.41,-,-,-,-,-,s.i.,-,70.71,-,-,-,-,-,-,-,-,94.71,-,53.67,SOLES,Préstamos a cuota fija hasta 30 días
25.19,-,-,-,-,-,s.i.,10.26,76.78,-,-,-,-,-,-,-,-,112.63,-,67.84,SOLES,Préstamos a cuota fija de 31 a 90 días
16.29,-,51.84,-,-,-,s.i.,-,72.29,-,-,-,-,-,-,-,-,110.99,-,109.62,SOLES,Préstamos a cuota fija de 91 a 180 días
20.02,-,-,-,-,-,s.i.,-,64.06,-,-,-,-,-,-,-,-,54.84,-,60.32,SOLES,Préstamos a cuota fija de 181 a 360 días
19.86,27.00,46.13,-,-,-,s.i.,19.17,54.47,-,-,-,-,-,-,-,-,36.22,38.00,37.62,SOLES,Préstamos a cuota fija a más de 360 días
51.17,14.97,60.62,40.65,27.92,48.25,s.i.,57.34,52.67,20.14,83.45,-,81.69,56.03,-,-,-,36.63,45.49,57.99,SOLES,Consumo
74.39,32.58,69.93,50.00,60.32,59.67,s.i.,66.76,-,29.41,92.48,-,100.41,-,-,-,-,-,68.84,73.23,SOLES,Tarjetas de Crédito
11.83,-,-,-,-,-,s.i.,-,61.52,-,-,-,-,-,-,-,-,85.95,-,13.01,SOLES,Préstamos Revolventes
12.43,-,12.20,-,12.04,10.92,s.i.,-,-,-,-,-,-,-,-,-,-,-,-,12.30,SOLES,Préstamos no Revolventes para automóviles
22.84,39.83,91.31,14.76,10.14,24.97,s.i.,21.73,58.60,21.33,31.31,-,57.48,59.84,-,-,-,51.13,80.00,79.52,SOLES,Préstamos no Revolventes para libre disponibilidad hasta 360 días
19.86,14.81,17.66,14.36,18.33,17.53,s.i.,16.97,43.12,13.00,25.11,-,32.55,55.93,-,-,-,35.01,42.25,22.70,SOLES,Préstamos no Revolventes para libre disponibilidad a más de 360 días
-,50.43,-,-,-,-,s.i.,-,-,-,-,-,-,-,-,-,-,-,-,50.43,SOLES,Créditos pignoraticios
7.65,9.73,8.03,8.66,8.33,7.61,s.i.,7.72,16.68,7.23,-,-,-,-,-,-,-,-,-,7.90,SOLES,Hipotecarios
7.65,9.73,8.03,8.66,8.33,7.61,s.i.,7.72,16.68,7.23,-,-,-,-,-,-,-,-,-,7.90,SOLES,Préstamos hipotecarios para vivienda
BBVA,Bancom,Crédito,Pichincha,BIF,Scotiabank,Citibank,Interbank,Mibanco,GNB,Falabella,Santander,Ripley,Alfin,ICBC,Bank of China,BCI,Compartamos,Santander Cons. Bank,Promedio,USD,CATEGORIA
5.11,-,5.40,7.66,5.26,6.27,-,5.10,-,4.75,-,6.67,-,-,6.43,4.20,5.57,-,-,5.47,USD,Corporativos
5.37,-,5.57,5.74,4.65,5.42,-,4.80,-,8.00,-,8.05,-,-,-,-,-,-,-,5.21,USD,Descuentos
4.21,-,5.63,-,5.40,4.70,-,4.57,-,4.42,-,6.85,-,-,7.53,-,4.87,-,-,5.59,USD,Préstamos hasta 30 días
4.99,-,4.71,-,6.43,4.69,-,5.83,-,4.83,-,6.27,-,-,7.35,-,4.95,-,-,5.14,USD,Préstamos de 31 a 90 días
4.91,-,5.02,7.88,7.43,6.45,-,4.20,-,4.66,-,6.69,-,-,5.40,4.20,6.37,-,-,5.05,USD,Préstamos de 91 a 180 días
5.27,-,4.42,-,4.75,5.38,-,6.48,-,5.10,-,8.91,-,-,5.49,-,-,-,-,5.22,USD,Préstamos de 181 a 360 días
5.37,-,8.62,-,-,7.71,-,5.95,-,-,-,-,-,-,-,-,7.38,-,-,6.87,USD,Préstamos a más de 360 días
6.80,8.25,6.52,19.18,8.01,5.93,-,6.71,-,8.75,-,6.70,-,-,6.52,-,6.16,-,-,6.87,USD,Grandes Empresas
6.99,7.90,6.93,5.67,8.54,6.24,-,6.76,-,7.29,-,7.96,-,-,-,-,-,-,-,6.86,USD,Descuentos
6.50,8.46,5.87,8.06,9.07,8.35,-,7.96,-,11.50,-,6.16,-,-,-,-,6.25,-,-,6.04,USD,Préstamos hasta 30 días
6.84,-,7.60,38.37,7.46,5.28,-,6.40,-,9.68,-,6.43,-,-,-,-,5.64,-,-,8.42,USD,Préstamos de 31 a 90 días
7.10,7.80,6.40,6.91,7.70,5.55,-,6.69,-,5.27,-,7.90,-,-,6.75,-,-,-,-,6.59,USD,Préstamos de 91 a 180 días
5.55,-,6.15,6.10,6.97,7.90,-,7.29,-,5.85,-,8.38,-,-,-,-,-,-,-,6.10,USD,Préstamos de 181 a 360 días
6.04,-,6.63,6.08,14.00,6.73,-,6.61,-,-,-,8.12,-,-,5.43,-,-,-,-,6.77,USD,Préstamos a más de 360 días
8.42,10.68,8.74,4.84,8.92,8.36,-,8.92,-,6.79,-,7.53,-,-,-,-,-,-,-,8.55,USD,Medianas Empresas
8.48,9.15,9.59,-,8.70,8.60,-,8.58,-,-,-,10.22,-,-,-,-,-,-,-,9.15,USD,Descuentos
7.98,-,7.41,-,7.60,8.58,-,11.24,-,-,-,6.33,-,-,-,-,-,-,-,7.42,USD,Préstamos hasta 30 días
10.16,9.30,9.03,4.43,10.64,9.41,-,8.43,-,-,-,7.00,-,-,-,-,-,-,-,8.55,USD,Préstamos de 31 a 90 días
9.89,24.00,8.57,8.57,10.14,8.50,-,9.69,-,5.85,-,10.04,-,-,-,-,-,-,-,8.96,USD,Préstamos de 91 a 180 días
8.49,-,9.24,-,12.01,7.86,-,10.30,-,7.80,-,8.44,-,-,-,-,-,-,-,8.94,USD,Préstamos de 181 a 360 días
7.01,-,7.68,6.95,8.64,7.14,-,9.57,-,-,-,-,-,-,-,-,-,-,-,7.50,USD,Préstamos a más de 360 días
10.24,-,10.92,-,10.43,5.62,-,8.91,15.12,8.76,-,-,-,-,-,-,-,-,-,8.34,USD,Pequeñas Empresas
9.21,-,13.62,-,16.57,9.92,-,11.04,-,-,-,-,-,-,-,-,-,-,-,12.84,USD,Descuentos
10.42,-,8.98,-,-,10.15,-,-,-,-,-,-,-,-,-,-,-,-,-,9.82,USD,Préstamos hasta 30 días
14.71,-,8.87,-,13.34,9.98,-,11.68,-,-,-,-,-,-,-,-,-,-,-,9.74,USD,Préstamos de 31 a 90 días
10.03,-,8.08,-,12.25,6.33,-,10.46,-,8.76,-,-,-,-,-,-,-,-,-,7.42,USD,Préstamos de 91 a 180 días
13.41,-,9.05,-,-,5.30,-,11.37,15.12,-,-,-,-,-,-,-,-,-,-,7.38,USD,Préstamos de 181 a 360 días
9.87,-,8.11,-,7.55,4.66,-,7.41,-,-,-,-,-,-,-,-,-,-,-,5.71,USD,Préstamos a más de 360 días
25.63,-,23.51,19.23,-,-,-,7.59,-,-,-,-,-,-,-,-,-,-,-,16.91,USD,Microempresas
33.68,-,23.31,19.23,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25.08,USD,Tarjetas de Crédito
8.74,-,24.45,-,-,-,-,18.88,-,-,-,-,-,-,-,-,-,-,-,21.83,USD,Descuentos
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,USD,Préstamos Revolventes
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,USD,Préstamos a cuota fija hasta 30 días
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,USD,Préstamos a cuota fija de 31 a 90 días
20.11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20.11,USD,Préstamos a cuota fija de 91 a 180 días
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,USD,Préstamos a cuota fija de 181 a 360 días
-,-,-,-,-,-,-,7.40,-,-,-,-,-,-,-,-,-,-,-,7.40,USD,Préstamos a cuota fija a más de 360 días
51.41,34.01,49.67,47.58,48.56,46.74,-,59.65,-,46.65,-,-,-,-,-,-,-,-,-,50.69,USD,Consumo
60.46,34.01,56.55,47.61,53.52,48.44,-,60.49,-,46.65,-,-,-,-,-,-,-,-,-,56.51,USD,Tarjetas de Crédito
22.80,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22.80,USD,Préstamos Revolventes
9.72,-,10.09,-,8.10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10.00,USD,Préstamos no Revolventes para automóviles
4.98,-,5.70,12.10,6.93,-,-,9.90,-,-,-,-,-,-,-,-,-,-,-,5.41,USD,Préstamos no Revolventes para libre disponibilidad hasta 360 días
8.73,-,5.86,-,5.25,6.14,-,7.04,-,-,-,-,-,-,-,-,-,-,-,6.50,USD,Préstamos no Revolventes para libre disponibilidad a más de 360 días
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,USD,Créditos pignoraticios
6.51,-,7.12,-,9.22,6.46,-,7.41,-,-,-,-,-,-,-,-,-,-,-,6.84,USD,Hipotecarios
6.51,-,7.12,-,9.22,6.46,-,7.41,-,-,-,-,-,-,-,-,-,-,-,6.84,USD,Préstamos hipotecarios para vivienda
