0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,MONEDA,categoria,FECHA
BBVA,Bancom,Crédito,Pichincha,BIF,Scotiabank,Citibank,Interbank,Mibanco,GNB,Falabella,Santander,Ripley,Alfin,ICBC,Bank of China,BCI,Compartamos,Santander Cons. Bank,Promedio,SOLES,CATEGORIA,30/09/2025
5.04,5.06,5.45,5.59,5.87,6.07,-,6.59,-,5.96,-,8.20,-,11.80,5.41,6.80,5.40,-,-,5.77,SOLES,Corporativos,30/09/2025
6.07,-,6.23,-,4.54,6.59,-,6.39,-,-,-,8.23,-,-,7.30,-,-,-,-,6.02,SOLES,Descuentos,30/09/2025
5.01,-,5.31,-,8.20,4.90,-,5.45,-,-,-,-,-,-,-,-,4.93,-,-,5.24,SOLES,Préstamos hasta 30 días,30/09/2025
4.94,5.01,5.37,5.72,6.38,6.79,-,6.27,-,5.97,-,9.06,-,10.40,8.33,-,5.61,-,-,5.61,SOLES,Préstamos de 31 a 90 días,30/09/2025
5.41,5.30,5.72,5.35,5.55,5.39,-,5.64,-,6.07,-,8.49,-,12.63,4.44,6.80,6.61,-,-,6.17,SOLES,Préstamos de 91 a 180 días,30/09/2025
4.87,-,5.07,6.70,9.47,4.79,-,-,-,5.82,-,-,-,-,-,-,4.71,-,-,4.95,SOLES,Préstamos de 181 a 360 días,30/09/2025
5.18,-,5.66,-,7.89,6.82,-,7.64,-,-,-,7.77,-,11.20,-,-,5.86,-,-,6.44,SOLES,Préstamos a más de 360 días,30/09/2025
7.69,7.56,7.92,7.22,7.97,7.31,-,7.36,-,7.44,-,9.33,-,11.44,-,-,8.37,-,-,7.81,SOLES,Grandes Empresas,30/09/2025
7.86,-,8.45,7.74,7.25,7.24,-,7.70,-,7.37,-,8.80,-,-,-,-,-,-,-,7.90,SOLES,Descuentos,30/09/2025
7.14,-,9.21,6.48,10.48,6.99,-,6.99,-,5.95,-,10.92,-,-,-,-,-,-,-,8.17,SOLES,Préstamos hasta 30 días,30/09/2025
7.53,7.56,7.71,7.88,10.11,7.64,-,7.40,-,8.96,-,8.15,-,12.00,-,-,8.35,-,-,7.73,SOLES,Préstamos de 31 a 90 días,30/09/2025
7.72,-,7.51,6.15,7.90,7.14,-,6.12,-,7.42,-,9.39,-,11.42,-,-,8.40,-,-,7.66,SOLES,Préstamos de 91 a 180 días,30/09/2025
7.11,-,6.81,7.85,8.91,8.66,-,6.46,-,8.10,-,7.98,-,-,-,-,-,-,-,7.09,SOLES,Préstamos de 181 a 360 días,30/09/2025
7.95,-,7.80,6.61,6.92,6.87,-,6.61,-,-,-,9.35,-,11.50,-,-,-,-,-,7.98,SOLES,Préstamos a más de 360 días,30/09/2025
11.53,11.61,10.64,8.78,12.29,9.42,-,9.87,-,-,-,5.82,-,11.59,-,-,-,-,-,10.65,SOLES,Medianas Empresas,30/09/2025
9.36,-,10.34,9.50,15.76,9.42,-,9.66,-,-,-,-,-,-,-,-,-,-,-,10.21,SOLES,Descuentos,30/09/2025
11.52,-,10.90,9.00,13.29,9.14,-,8.87,-,-,-,9.03,-,-,-,-,-,-,-,10.81,SOLES,Préstamos hasta 30 días,30/09/2025
12.58,11.24,10.51,10.91,12.40,9.95,-,8.48,-,-,-,5.81,-,12.75,-,-,-,-,-,10.28,SOLES,Préstamos de 31 a 90 días,30/09/2025
12.21,11.00,11.03,7.15,11.84,9.33,-,9.23,-,-,-,-,-,12.15,-,-,-,-,-,10.84,SOLES,Préstamos de 91 a 180 días,30/09/2025
11.20,12.13,10.39,9.76,9.16,10.03,-,9.50,-,-,-,-,-,-,-,-,-,-,-,10.58,SOLES,Préstamos de 181 a 360 días,30/09/2025
